timestamp,open,high,low,close,volume
2026-04-01 23:00:00,2139.75,2145.61,2135.85,2140.1,492.47675753
2026-04-02 00:00:00,2140.06,2158.95,2136.33,2155.62,847.9876896
2026-04-02 01:00:00,2155.88,2155.88,2090.0,2099.31,2912.83422109
2026-04-02 02:00:00,2099.69,2099.69,2065.29,2073.51,2242.66881662
2026-04-02 03:00:00,2073.51,2076.2,2046.22,2056.04,1745.92922037
2026-04-02 04:00:00,2055.79,2057.58,2041.93,2044.33,1262.73923964
2026-04-02 05:00:00,2044.47,2050.79,2034.93,2050.11,1296.49285638
2026-04-02 06:00:00,2049.72,2053.44,2045.51,2049.52,712.22428878
2026-04-02 07:00:00,2049.53,2056.16,2044.13,2055.39,523.1109459
2026-04-02 08:00:00,2055.39,2055.39,2045.97,2046.05,676.94723049
2026-04-02 09:00:00,2045.62,2047.38,2039.7,2043.44,480.12978116
2026-04-02 10:00:00,2043.14,2043.37,2032.34,2038.04,549.32924448
2026-04-02 11:00:00,2038.05,2039.87,2024.5,2032.64,986.40183481
2026-04-02 12:00:00,2032.47,2032.63,2024.02,2026.33,962.88084996
2026-04-02 13:00:00,2026.48,2039.56,2016.68,2037.48,2360.41077354
2026-04-02 14:00:00,2037.29,2071.71,2032.3,2064.01,2684.49633172
2026-04-02 15:00:00,2064.01,2067.54,2047.72,2059.02,1180.46484065
2026-04-02 16:00:00,2059.24,2074.0,2052.12,2063.41,1368.29163343
2026-04-02 17:00:00,2062.73,2071.66,2044.56,2046.82,984.14952911
2026-04-02 18:00:00,2046.84,2061.61,2043.46,2057.69,496.27282848
2026-04-02 19:00:00,2057.69,2066.55,2055.02,2065.57,1503.56959901
2026-04-02 20:00:00,2065.51,2074.27,2061.12,2068.09,1092.43142624
2026-04-02 21:00:00,2068.17,2070.39,2056.51,2063.1,773.76788023
2026-04-02 22:00:00,2063.11,2064.49,2054.01,2060.34,429.65621222
2026-04-02 23:00:00,2059.76,2061.5,2054.0,2056.93,309.80514847
2026-04-03 00:00:00,2056.94,2059.02,2050.0,2052.88,358.74392761
2026-04-03 01:00:00,2052.86,2062.16,2045.61,2049.84,438.56880382
2026-04-03 02:00:00,2050.21,2059.61,2041.3,2052.56,412.4656909
2026-04-03 03:00:00,2052.26,2056.69,2050.22,2054.36,317.87076647
2026-04-03 04:00:00,2054.36,2057.34,2049.01,2054.15,205.43560917
2026-04-03 05:00:00,2054.32,2064.65,2047.61,2057.15,935.59795692
2026-04-03 06:00:00,2057.14,2066.49,2055.3,2063.87,727.65758826
2026-04-03 07:00:00,2063.56,2075.16,2062.31,2065.23,97.05365564
2026-04-03 08:00:00,2065.61,2071.03,2058.62,2060.23,262.94755848
2026-04-03 09:00:00,2060.23,2063.44,2056.82,2060.92,198.24342128
2026-04-03 10:00:00,2060.97,2060.97,2053.38,2059.7,620.62652789
2026-04-03 11:00:00,2059.69,2064.14,2057.67,2062.8,272.2086155
2026-04-03 12:00:00,2062.78,2080.8,2045.46,2049.84,998.08490395
2026-04-03 13:00:00,2049.84,2051.23,2042.12,2047.97,415.26480249
2026-04-03 14:00:00,2047.89,2057.72,2045.06,2055.3,607.39439315
2026-04-03 15:00:00,2054.29,2057.61,2049.23,2051.56,221.35258129
2026-04-03 16:00:00,2051.11,2056.42,2049.45,2054.83,344.46296734
